Phase One,,,,,,,,,,,
Jarvis,Paul Bettany ,,,,Paul Bettany ,,,,,,
Darcy Lewis,,Kat Dennings ,,,,,,,,,
Loki,,Tom Hiddleston ,,,,,,,,,
Odin,,Anthony Hopkins ,,,,,,,,,
"Virginia ""Pepper"" Potts",Gwyneth Paltrow ,,,,,,,,,,
"james ""Rhodey"" Rhodes War Machine ",Don Cheadle,,,,Don Cheadle,,,,,,
"Steve Rogers ""Captain America """,,Chris Evans ,Chris Evans ,,Chris Evans ,Chris Evans,,,,,
Natasha Romanoff Black Widow ,,,Scarlett Johansson,,Scarlett Johansseon,,,,,,
Erik Selvig,,Stellan Skarsgard ,,,Stellan Sarsgard,,,,,,
Sif,,Jaimie Alexander,,,,,,,,,
Jasper Sitwell,,,Maximiliano Hernanddez ,,,,,,,,
Howard Stark,,,,,,John Slattery,,,,,
"Tony Stark ""ironMan""",Robert Downey Jr.,,,,Robert Downey Jr.,,,,,,
Stern ,,,Gary Shandling,,,,,,,,
The Other ,,,,Alexis Denisof ,,,,,,,
Thanos,,,,Josh Brolin ,Josh Brolin,,,,,,
Thor , ,Chris Hermsworth ,,,Chris Hermsworth ,,,,,,
Volstagg ,,Ray Stevenson ,,,,,,,,,
Ho Yinsen ,Shaun Toub ,,,,,,,,,,
Armin Zola ,,,Toby Jones ,,,,,,,,
Introduced in Iron Man 3 ,,,,,,,,,,,
Ellen Brandt ,Stephanie Szostak,,,,,,,,,,
Methew Ellis ,William Sadler ,,,,,,,,,,
Maya Hanse ,Rebecca Hall,,,,,,,,,,
Harley Keener ,Ty Simpkins ,,,,,,,,,,
Aldrich Killian,Guy Pearce ,,,,,,,,,,
Rodriguez ,Miguel Ferrer,,,,,,,,,,
Eric Savin,James Badge Dale ,,,,,,,,,,
Trevor Slaterry ,Ben Kingsley ,,,,,,,,,,
Jack Taggart ,Ashley Hamilton ,,,,,,,,,,
Wu ,Wang Xueqi,,,,,,,,,,
Introduced in Thor: Dark World ,,,,,,,,,,,
Algrim Kurse,,Adewale Akinnuoye-Agbaje,,,,,,,,,
Bor,,Tony Curran ,,,,,,,,,
Ian Boothby ,,Jonathan Howard ,,,,,,,,,
Carina ,,Ophelia Lovebond ,,Ophelia Lovibond,,,,,,,
Eir,,Alice Krige,,,,,,,,,
Maleketh,,Christopher Eccleston ,,,,,,,,,
Richard ,,Chris O'Dowd ,,,,,,,,,
"Taneleer Tivan ""The Collector""",,Benicio del Toro ,,Benicio del Toro ,,,,,,,
Tyr,,Clive Russell,,,,,,,,,
Introduced in Captain America: Winter Soldier ,,,,,,,,,,,
Georges Batroc,,,George St-Pierre,,,,,,,,
"Sharon Carter ""Agent 13""",,,Emily VanCamp,,,,,,,,
Cameron Klein ,,,Aaron Himelstein,,Aaron Himelstein,,,,,,
List ,,,Henry Goodman,,Henry Goodman,,,,,,
"Pietro Maximof ""Quicksilver""",,,Aaron Taylor-Johnson ,,Aaron Taylor-Johnson ,,,,,,
"Wanda Maximof ""Scarlet Wich""",,,Eilazabeth Olsen,,Eilazabeth Olsen,,,,,,
